,type,2nd type,3rd type,Source Notes (things to know?),
politicono.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
politicsusanews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
president45donaldtrump.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
prntly.com,fake,,,,
proamericanews.com,fake,,,,
proudcons.com,fake,bias,,,
react365.com,fake,,,fake news generator for pranking friends,
realnewsrightnow.com,fake,satire,,,
redcountry.us,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
redrocktribune.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
religionmind.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
rhotv.com,fake,,,,
rickwells.us,fake,conspiracy,,,
rilenews.com,fake,satire,,,
rogue-nation3.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
rumorjournal.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
smag31.com,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
socialeverythings.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
stormcloudsgathering.com,fake,,,,
subjectpolitics.com,fake,bias,,,
success-street.com,fake,clickbait,,http://success-street.com/2017/01/18/wow-obama-orders-life-sized-bronze-statute-permanently-installed-white-house/,
supremepatriot.com,fake,bias,,,
TDTalliance.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
teaparty.org,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
thatviralfeed.net,fake,unreliable,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
the-insider.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
theamericanindependent.wordpress.com,fake,bias,,,
thebigriddle.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
thebostontribune.com,fake,,,,
thecommonsenseshow.com,fake,conspiracy,,,
thecontroversialfiles.net,fake,clickbait, ,,
thefreepatriot.org,fake,bias,clickbait,,
theinternetpost.net,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
thelastgreatstand.com,fake,conspiracy,bias,,
themoralofthestory.us,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
thenet24h.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
thenewyorkevening.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
theracketreport.com,fake,satire,,"I can't find disclaimers, but I think it's satirical ",
thereporterz.com,fake,,,,
therightscoop.com,fake,clickbait,,"no authors, no history, no about us, unverifiable data, etc.",
thetrumpmedia.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
thetruthdivision.com,fake,bias,,,
thetruthseeker.co.uk,fake,conspiracy,junksci,ex: NY orchestrated the asian tsunami in 2008!,
theusa-news.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
thewashingtonpress.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
threepercenternation.com,fake,conspiracy,bias,,
times.com.mx,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
tmzworldnews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
trueamericans.me,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
truetrumpers.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
trumpvision365.com,fake,,,,
undergroundnewsreport.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
undergroundworldnews.com,fake,conspiracy,bias,,
unitedmediapublishing.com,fake,,,,
universepolitics.com,fake,,,http://www.politifact.com/punditfact/statements/2017/jan/03/universe-politics/fake-news-michigan-gop-elector-didnt-choose-suicid/,
usa-radio.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
usa-television.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
usa2016elections.com,fake,,,no longer being updated,
usadailyinfo.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
usadailypolitics.com,fake,,,,
usadailytime.com,fake,,,"no satire disclaimer, http://usadailytime.com/breaking-mexico-closes-borders-usa-citizens/",
usadosenews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
usafirstinformation.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
usahitman.com,fake,conspiracy,,,
usainfobox.com,fake,,,"can't find satire disclaimer, patently false",
usamagazinestudio.com,fake,,,,
usanewsflash.com,fake,bias,clickbait,,
usanewsinsider.com,fake,bias,clickbait,,
usanewspolitics.com,fake,,,,
usanewstoday.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
usaonlinepolitics.com,fake,clickbait,,no longer being updated,
usaphase.com,fake,bias,,,
usapolitics24hrs.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
usapoliticsnow.com,fake,bias,,,
usapoliticszone.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
usasnich.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
usasupreme.com,fake, ,,,
usatoday.com.co,fake,,,,
usatodaynews.me,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
usatwentyfour.com,fake,,,,
usconservativetoday.com,fake,,,,
usfanzone.com,fake,bias,,,
ushealthyadvisor.com,fake,conspiracy,junksci,,
ushealthylife.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
usinfonews.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
uspoliticslive.com,fake,bias,conspiracy,,
uspoln.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
uspostman.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
vigilantcitizen.com,fake,conspiracy,,,
viralactions.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
viralliberty.com,fake,bias,clickbait,,
voxtribune.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
washingtonfed.com,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
washingtonpost.com.co,fake,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
webdaily.com,fake,conspiracy,bias,,
weeklyworldnews.com,fake,rumor,clickbait,pretty well known tabloid/fake news source,
worldpoliticsus.com,fake,,,website down,
worldrumor.com,fake,,,no longer being updated?,
worldstoriestoday.com,fake,,,no longer being updated?,
wtoe5news.com,fake,satire,,https://web.archive.org/web/20161115024211/http://wtoe5news.com/us-election/pope-francis-shocks-world-endorses-donald-trump-for-president-releases-statement/,
yesimright.com,fake,bias,,,
yourfunpage.com,fake,,,mostly links to rando YT videos,
worldpoliticsnow.com,fake ,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
FarmWars.info,fake news,conspiracy,,"Much of the site is focused on anti-GMO conspiracies, with political conspiracies coming in as a close second. There are some apparent attempts to source some wild claims, but the use of unstable URLs-- intentionally or otherwise-- thwarts this.",
actforamerica.org/news,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
adflegal.org/media,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
americanborderpatrol.com,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
amren.com,hate,conspiracy,,,
amren.com,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
aryannationswordwide1488.org,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
barenakedislam.com,hate,,,,
barnesreview.org,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
bigbluevision.com,hate,,,,
centerforsecuritypolicy.org/#articles,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
christianfightback.com,hate,bias,,,
creativitymovement.net/category/news/,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
dailyken.com,hate,,,,
dailystormer.com,hate,conspiracy,bias,pretty well known neo-nazi site,
darkmoon.me,hate,bias,,,
davidduke.com,hate,,,,
drrichswier.com,hate,bias,,,
EUTimes.net,hate,conspiracy,,,
gatesofvienna.net,hate,conspiracy,,,
glaringhypocrisy.com,hate,conspiracy,,"references to ""Jew World Order""",
ihr.org,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
libertyfederation.com,hate,,,,
nationalvanguard.org,hate,,,https://www.splcenter.org/fighting-hate/extremist-files/groups,
npiamerica.org,hate,bias,,white supremacist think tank,
returnofkings.com,hate,,,,
themuslimissue.wordpress.com,hate,conspiracy,,,
therightstuff.biz,hate,,,,
truthfeed.com,hate,bias,conspiracy,,
whitepower.com,hate,conspiracy,bias,,
AmericanKabuki.blogspot.com,junksci,,,,
ancient-code.com,junksci,unreliable,,,
checkoutthehealthyworld.com,junksci,clickbait,,,
collective-evolution.com,junksci,,,,
collectivelyconscious.net,junksci,conspiracy,,,
consciouslifenews.com,junksci, ,,,
dineal.com,junksci,,,,
ewao.com,junksci,,,,
ExperimentalVaccines.org,junksci,conspiracy,,,
foodbabe.com,junksci,,,,
galacticconnection.com,junksci,,,,
geoengineeringwatch.org,junksci,conspiracy,,,
GreenMedInfo.com,junksci,,,,
healthimpactnews.com,junksci,bias,,,
healthnutnews.com,junksci,,,,
healthy-holistic-living.com,junksci,clickbait,,,
icr.org,junksci,,,,
in5d.com,junksci,,,,
lifeprevention.com,junksci,,,,
naturalblaze.com,junksci,conspiracy,,,
naturalnews.com,junksci,conspiracy,,,
naturalnewsblogs.com,junksci,,,,
rawforbeauty.com,junksci,,,,
realfarmacy.com,junksci,conspiracy,,,
realplanetnews.com,junksci,,,,
responsibletechnology.org,junksci,,,,
revolutions2040.com,junksci,clickbait,,,
thetruthaboutcancer.com,junksci,,,,
TheTruthWins.com,junksci,conspiracy,clickbait,,
wakingtimes.com,junksci,,,,
whydontyoutrythis.com,junksci,rumor,,,
worldwidehealthy.com,junksci,clickbait,,,
dailyleak.org,satire,fake,,,
advocate.com,political,reliable,,,
alternet.org,political,reliable,,,
americannewsx.com,political,bias,satire,,
americanprogress.org,political,reliable,,,
attn.com,political,clickbait,,,
baptistnews.com,political,,,circulates generally reliable information from a p.o.v. but not at the expense of informational integrity ,
breitbart.com,political,unreliable,bias,,
cato.org/blog,political,reliable,,,
chroniclesmagazine.org,political,,,"from what I gather, like the opposite of Jacobin (paleoconservative) ",
city-journal.org,political,,,,
commentarymagazine.com,political,,,,
commondreams.org,political,clickbait,,,
conservativereview.com,political,,,,
countercurrents.org,political,unreliable,,This site is pretty explicit about it's p.o.v. and is coming from a political perspective but doesn't fit under how we are defining 'bias',
counterinformation.wordpress.com,political,,,,
counterpunch.com,political,,,explicit POV - legit authors,
counterpunch.org,political,,,explicit POV - legit authors,
dailycaller.com,political,clickbait,bias,a weird mix of info. they link to extremely biased sites (as sources) and more reliable/balanced sources,
dailykos.com,political,clickbait, ,,
davidstockmanscontracorner.com,political,,,,
DeadLineLive.info,political,conspiracy,,,
dennismichaellynch.com,political,,,,
dissentmagazine.org,political,,,,
drudgereport.com,political,bias,,,
economicnoise.com,political,unreliable,,"sites some problematic sources, like CNS news",
ecowatch.com,political,,,"this site claims junksci, but I read over a dozen articles w/o finding any. probably should re-check soon https://mediabiasfactcheck.com/ecowatch/",
Emptywheel.net,political,,,commentary on current events/news,
filmsforaction.org,political,,,,
foreignpolicyjournal.com,political,,,legit source coming from a political perspective,
freedomworks.org,political,,,,
fusion.net,political,reliable,,website contains some satire ,
geopolmonitor.com,political,,,this website is tricky (in terms of writers using some interesting frames/language). def could use a second analysis.,
guardianlv.com,political,,,,
heritage.org,political,,,,
ijr.com,political,bias,unreliable,,
jackpineradicals.com,political,,,left wing discussion site,
jacobinmag.com,political,,,,
judicialwatch.org,political,,,,
mintpressnews.com,political,,,legit source form a political perspective,
mrc.org,political,bias,,,
nakedcapitalism.com,political,,,"commentary on finance, economics, politics and power",
nationalreview.com,political,,,,
newcoldwar.org,political,,,"contains statement that site authors are ""independent, but not non-partisan"" (anti-war (Ukraine))",
newscorpse.com,political, , ,http://www.newscorpse.com/ncWP/?p=34163,
oann.com,political,reliable,,,
observer.com,political,,,"vacillates between some pieces that are ""bias"" and others that are ""reliable""",
OCCUPY.com,political,,,,
pjmedia.com,political,bias,,"https://mediabiasfactcheck.com/pj-media/ ;  https://pjmedia.com/about-us (ground zero mosque, 'doctored climate change data')",
presidentialvoting2016.com,political,bias,unreliable,,
proudemocrat.com,political,,,,
rawstory.com,political,clickbait,,,
redstate.com,political,clickbait,,,
resistancereport.com,political,unreliable,,http://www.politifact.com/personalities/resistance-report/,
rinf.com,political,,,,
ronpaulinstitute.org,political,,,,
ruptly.tv,political,,,owned by RT,
theblaze.com,political,clickbait,,,
thedailybeast.com,political,,,,
thefifthcolumnnews.com,political,,,,
theintercept.com,political,,,,
thinkprogress.org,political,,,,
TomWoods.com,political,unrealiable,,,
washingtonexaminer.com,political,unreliable, ,,
weeklystandard.com,political,bias,,,
yellowhammernews.com,political,,,,
christianpost.com,reliable,political,,,
consortiumnews.com,reliable,,,The authors on this website are pretty reliable and the articles appear well researched,
nutritionfacts.org,reliable,,,"I read through several articles and the sources cited, and appears ok (maybe sometimes a little sensational... so if anyone has specific knowledge of this site and/or good examples of problems, feel free to link them here)",
americantoday.news,rumor,bias,,,
amtvmedia.com,rumor,unreliable,,,
bigbluedimension.com,rumor,bias,,,
christiantimesnewspaper.com,rumor,bias,fake,https://www.nytimes.com/2017/01/18/us/fake-news-hillary-clinton-cameron-harris.html?_r=1&mtrref=t.co&gwh=1CC9755BA757D7782D8A46A6F6FBF22E&gwt=pay,
express.co.uk,rumor,,,well-known tabloid,
loanpride.com,rumor,clickbait,,http://loanpride.com/obama-family-divorce-attorney-quit-smoking-tips/?utm_source=revcontent&utm_medium=56198&utm_term=conservative%20news&utm_content=1770992&utm_campaign=234718&utm_widget_id=56198,
magafeed.com,rumor,bias,fake,"""god/emperor"" category for trump",
mediazone.news,rumor,unreliable,,,
megafreshnews.com,rumor,,,,
newswire-24.com,rumor,unreliable,,,
pollhype.com,rumor ,clickbait,bias,,
abriluno.com,satire,fake,,,
aceflashman.wordpress.com,satire,,,,
actualidadpanamericana.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
adobochronicles.com,satire,,,,
associatedmediacoverage.com,satire,,,,
awazetribune.com,satire,,,,
beehivebugle.com,satire,,,,
betootaadvocate.com,satire,,,,
bigamericannews.com,satire,fake,,,
borowitzreport.com,satire,,,,
bostontribune.com,satire,fake,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
burrardstreetjournal.com,satire,,,,
callthecops.net,satire,,,,
celebtricity.com,satire,,,,
chaser.com.au,satire,,,,
christwire.org,satire,,,, 
chronicle.su,satire, ,,,
clickhole.com,satire,,,,
creambmp.com,satire,fake,,,
crystalair.com,satire,,,redirects to http://www.cap-news.com/,
dailycurrant.com,satire,,,,
dailydiscord.com,satire,,,,
dailysnark.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
dailysquib.co.uk,satire,,,,
dandygoat.com,satire,,,,
der-postillon.com,satire,,,German language site,
derfmagazine.com,satire,,,,
disclose.tv,satire,conspiracy,,,
diversitychronicle.wordpress.com,satire,,,self-labled: https://diversitychronicle.wordpress.com/disclaimer/ ,
duffleblog.com,satire,,,,
duhprogressive.com,satire,,,,
elkoshary.com,satire,,,About Me notes that it's not fake/satirical news,
elmundotoday.com,satire,,,About Me notes that it's not fake/satirical news,
empiresports.co,satire,,,About Me notes that it's not fake/satirical news,
empiresports.co,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
fmobserver.com,satire,,,,
fognews.ru,satire,,,site contains satire disclaimer,
freepatriot.org,satire,,,site contains satire disclaimer ,
freewoodpost.com,satire,,,,
fridaymash.com,satire,,,,
glossynews.com,satire,,,,
gomerblog.com,satire,,,site contains satire disclaimer ,
holyobserver.com,satire,,,,
humortimes.com,satire,,,,
huzlers.com,satire,,,,
ironictimes.com,satire,,,,
islamicanews.com,satire,,,,
johnnyrobish.com,satire,,,,
landoverbaptist.org,satire,,,,
liberalbias.com,satire,,,,
liberaldarkness.com,satire,fake,,,
lushforlife.com,satire,,,,
nahadaily.com,satire,,,,
nationalreport.net,satire,fake,,,
ncscooper.com,satire,,,,
newsbiscuit.com,satire,,,http://www.newsbiscuit.com/about/disclaimer/ ,
newsbreakers.org,satire,,,,
newsmutiny.com,satire,fake,,,
newsthump.com,satire,,,site contains satire disclaimer,
newstoad.net,satire,,,Tagline: The news they don't want you to hear. Because it isn't true.,
newyorker.com/humor,satire,,,,
objectiveministries.org,satire,,,,
patriotnewsdaily.com,satire,,,,
politicops.com,satire,fake,,redirects to Newslo,
politicot.com,satire,fake,,redirects to Newslo,
reductress.com,satire,,,,
religionlo.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
rockcitytimes.com,satire,,,,
satiratribune.com,satire,,,,
satirewire.com,satire,,,,
scrappleface.com,satire,,,,
sensationalisttimes.com,satire,,,,
speld.nl,satire,,,,
sportspickle.com,satire,,,,
stneotscitizen.com,satire,,,,
stuppid.com,satire,,,,
surrealscoop.com,satire,,,,
thebeaverton.com,satire,,,,
thedailymash.co.uk,satire,,,,
thedailywtf.com,satire,,,,
thehardtimes.net,satire,,,,
theineptowl.com,satire,,,,
thelastlineofdefense.org,satire,,,http://thelastlineofdefense.org/about-us/,
themadisonmisnomer.com,satire,,,,
themideastbeast.com,satire,,,http://www.themideastbeast.com/about/,
thenewsnerd.com,satire,,,,
theonion.com,satire,,,,
thepoke.co.uk,satire,,,,
therightists.com,satire, ,,publishes both biased and fake content,
theseattletribune.com,satire,,,http://www.politifact.com/punditfact/article/2017/apr/20/politifacts-guide-fake-news-websites-and-what-they/,
theshovel.com.au,satire,,,,
theskunk.org,satire,,,,
thespoof.com,satire,,,,
thestatelyharold.com,satire,,,,
thetimesoftheworld.com,satire,,,,
theunrealtimes.com,satire,,,,
theuspatriot.com,satire,fake,,,
thevalleyreport.com,satire,,,,
topekasnews.com,satire,,,,
unconfirmedsources.com,satire,,,,
us.blastingnews.com,satire,unreliable,,,
waterfordwhispersnews.com,satire,,,,
WilliamBanzai7.blogspot.com,satire,,,,
winkprogress.com,satire,,,,
witscience.org,satire,,,,
wonkie.com,satire,,,,
worldnewsdailyreport.com,satire,,,,
wundergroundmusic.com,satire,,,,
www.rt.com,state,,,,
aanirfan.blogspot.co.uk,unreliable,,,0,
Acting-Man.com,unreliable,conspiracy,,publishes articles denying climate change,
ahtribune.com,unreliable,bias,,,
allnewspipeline.com,unreliable,conspiracy,,,
anonews.co,unreliable,,,,
anonhq.com,unreliable,,,,
anonnews.co,unreliable,,,,
asia-pacificresearch.com,unreliable,satire,,,
AutomaticEarth.com,unreliable,,,links to MSM sources and unreliable sources,
awm.com,unreliable,bias,clickbait,,
blackagendareport.com,unreliable,,,anon submissions,
Boilingfrogspost.com,unreliable,,,"links to natural news, blacklist news, some conspiracy sites",
breakpoint.org,unreliable,,,,
bvanews.com,unreliable,bias,fake,seems like a combination of totally fake and unreliable reports of 'real' news,
cnnnext.com,unreliable,,,basically an RT video channel,
CNSNews.com,unreliable,bias,,The news arm of Media Research Center (a conservative org that is frequently criticized for use of selective evidence) ,
coasttocoastam.com,unreliable,,,,
conservativeoutfitters.com,unreliable,clickbait,,,
DaveJanda.com,unreliable,,,,
dcleaks.com,unreliable,,,,
FinancialSurvivalNetwork.com,unreliable,bias,,,
guccifer2.wordpress.com,unreliable,,,,
ifyouonlynews.com,unreliable,satire,,,
jewsnews.co.il,unreliable,bias,fake,,
libertynews.com,unreliable,bias,,,
Mad-Yet.blogspot.com,unreliable,,,"links to real news stories, but also some questionable/decontextualized images",
madpatriots.com,unreliable,clickbait,,,
madworldnews.com,unreliable,hate,,,
madworldnews.com,unreliable,clickbait,,,
morningledger.com,unreliable,conspiracy,,,
morningnewsusa.com,unreliable,,,"stories seem to originate from real news, but are somewhat clickbait-y and sources are not cited",
nevo.news,unreliable,bias,,,
newcenturytimes.com,unreliable,bias,,,
Newsmax.com,unreliable,bias,,,
northcrane.com,unreliable,,,,
NutritionalAnarchy.com,unreliable,,,,
politicalears.com,unreliable,clickbait,,,
politicsintheusa.com,unreliable,bias,,,
powerpoliticians.com,unreliable,,,,
shareblue.com,unreliable,political,bias,My analysis is similar to this site: https://mediabiasfactcheck.com/shareblue/,
SovereignMan.com,unreliable,,,,
theantimedia.org,unreliable,bias,conspiracy,ex: http://theantimedia.org/cdc-admits-ebola-airborne/,
theduran.com,unreliable,,,,
thefreethoughtproject.com,unreliable,conspiracy,clickbait,,
thegoldandoilguy.com/articles,unreliable,,,,
theinformedamerican.net,unreliable,,,,
thelibertymill.com,unreliable,bias,conspiracy,,
usdefensewatch.com,unreliable,,,,
usviewer.com,unreliable,fake, ,"basically copy/pastes parts of actual reuters stories, no authors listed or publication info",
veteransnewsnow.com,unreliable,political,,"I read sample articles and didn't find inaccuracy, but the language is strong/loaded",
WallStreetOnParade.com,unreliable,,,mostly linking/commenting on both news and other sources.,
weaselzippers.us,unreliable,bias,,copies/pastes quotes/bits from news orgs and other questionable sites,
whowhatwhy.com,unreliable,,,,
wikileaks.com,unreliable, , ,https://www.nytimes.com/2017/03/09/opinion/the-truth-about-the-wikileaks-cia-cache.html?_r=0,
wikileaks.org,unreliable, ,,Increasingly wikileaks is being accused of spreading misinformation, 
WolfStreet.com,unreliable,,,,